type,load_id,booking_number,reference_number,container_number,customer,port,warehouse,address,document_cutoff,delivery_need_date,load_date,lfd,status,driver_name,truck_assigned,chassis,size,billing_notes,dispatcher_notes,ready_for_profittools,rate,steamship_line,vessel_name,terminal,pickup_appointment,delivery_appointment,empty_return_location,empty_return_date,chassis_provider,pickup_reference,delivery_reference,invoice_status,driver_pay_status,customer_rate,carrier_pay,accessorials,margin
Import Local,CLT-2026-0055,IML-2026-0055,REF-000055,LOCAL555055,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-21,2026-06-23,2026-06-22,,At Pickup,Luis Garcia,CT-105,CH-2007,20,,Sample load for Supabase/TMS testing.,false,550.00,,,,2026-06-22 08:00:00,2026-06-23 15:00:00,,,,PU-00055,DL-00055,Invoiced,Pending,550.00,345.69,0.00,204.31
Export Local,CLT-2026-0056,EXL-2026-0056,REF-000056,REF555056,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-16,2026-06-19,2026-06-17,,Loaded,Rafael Gomez,CT-106,CH-2008,40,,Sample load for Supabase/TMS testing.,false,775.00,,,,2026-06-17 07:00:00,2026-06-19 13:00:00,,,,PU-00056,DL-00056,Invoiced,Pending,775.00,490.96,0.00,284.04
Import,CLT-2026-0057,IMP-2026-0057,REF-000057,CMAU555057,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-21,2026-06-24,2026-06-22,2026-06-27,En Route To Delivery,Diego Moreno,CT-107,CH-2001,40HC,,Sample load for Supabase/TMS testing.,false,1200.00,Maersk,TEXAS STAR,Barbours Cut,2026-06-22 09:00:00,2026-06-24 16:00:00,Bayport Empty Yard,2026-06-25,TRAC,PU-00057,DL-00057,Paid,Approved,1200.00,687.04,175.00,687.96
Export,CLT-2026-0058,EXP-2026-0058,REF-000058,,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-21,2026-06-24,2026-06-24,2026-06-26,Delivered,Oscar Silva,CT-108,CH-2002,40ST,POD needed before billing.,Sample load for Supabase/TMS testing.,false,775.00,MSC,LONE PIONEER,Port Houston,2026-06-24 09:00:00,2026-06-24 16:00:00,,,FlexiVan,PU-00058,DL-00058,Paid,Approved,775.00,478.93,0.00,296.07
Import Local,CLT-2026-0059,IML-2026-0059,REF-000059,LOCAL555059,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-18,2026-06-20,2026-06-19,,Returning Empty,Andre Johnson,CT-109,CH-2003,20FR,,Sample load for Supabase/TMS testing.,false,775.00,,,,2026-06-19 14:00:00,2026-06-20 10:00:00,,,,PU-00059,DL-00059,Paid,Pending,775.00,390.87,0.00,384.13
Export Local,CLT-2026-0060,EXL-2026-0060,REF-000060,REF555060,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-18,2026-06-19,2026-06-19,2026-06-20,POD Received,Sam Patel,CT-110,CH-2004,40FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,775.00,,,,2026-06-19 14:00:00,2026-06-19 09:00:00,,,,PU-00060,DL-00060,Ready,Approved,775.00,358.71,75.00,491.29
Import,CLT-2026-0061,IMP-2026-0061,REF-000061,HLXU555061,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-23,2026-06-24,2026-06-23,2026-06-24,Ready for ProfitTools,Victor Reza,CT-101,CH-2005,20,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,550.00,CMA CGM,GULF TRADER,Bayport Terminal,2026-06-23 10:00:00,2026-06-24 16:00:00,Bayport Empty Yard,2026-06-25,DCLI,PU-00061,DL-00061,Ready,Approved,550.00,341.74,125.00,333.26
Export,CLT-2026-0062,EXP-2026-0062,REF-000062,SEGU555062,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-22,2026-06-24,2026-06-24,2026-06-25,Exported to ProfitTools,Miguel Torres,CT-102,CH-2006,40,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1350.00,Evergreen,TEXAS STAR,Barbours Cut,2026-06-24 10:00:00,2026-06-24 13:00:00,,,TRAC,PU-00062,DL-00062,Exported,Pending,1350.00,823.46,0.00,526.54
Import Local,CLT-2026-0063,IML-2026-0063,REF-000063,LOCAL555063,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-19,2026-06-21,2026-06-20,2026-06-22,Invoiced,Carlos Ramirez,CT-103,CH-2007,40HC,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1050.00,,,,2026-06-20 10:00:00,2026-06-21 10:00:00,,,,PU-00063,DL-00063,Invoiced,Paid,1050.00,624.58,75.00,500.42
Export Local,CLT-2026-0064,EXL-2026-0064,REF-000064,EXL555064,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-14,2026-06-17,2026-06-16,,Closed,Juan Martinez,CT-104,CH-2008,40ST,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,625.00,,,,2026-06-16 14:00:00,2026-06-17 08:00:00,,,,PU-00064,DL-00064,Invoiced,Pending,625.00,361.59,0.00,263.41
Import,CLT-2026-0065,IMP-2026-0065,REF-000065,MAEU555065,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-15,2026-06-17,2026-06-16,2026-06-18,New,,,,20FR,,Sample load for Supabase/TMS testing.,false,925.00,MSC,HOUSTON BRIDGE,Turning Basin,2026-06-16 10:00:00,2026-06-17 10:00:00,Bayport Empty Yard,2026-06-18,Private Chassis,PU-00065,DL-00065,Exported,Approved,925.00,557.08,75.00,442.92
Export,CLT-2026-0066,EXP-2026-0066,REF-000066,FCIU555066,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-19,2026-06-21,2026-06-21,2026-06-20,Hold/Need Info,,,,40FR,,Sample load for Supabase/TMS testing.,false,775.00,Hapag-Lloyd,GULF TRADER,Bayport Terminal,2026-06-21 07:00:00,2026-06-21 10:00:00,,,DCLI,PU-00066,DL-00066,Not Ready,Pending,775.00,449.52,175.00,500.48
Import Local,CLT-2026-0067,IML-2026-0067,REF-000067,IML555067,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-19,2026-06-20,2026-06-20,,Awaiting Appointment,,,,20,,Sample load for Supabase/TMS testing.,false,700.00,,,,2026-06-20 08:00:00,2026-06-20 09:00:00,,,,PU-00067,DL-00067,Paid,Pending,700.00,381.30,0.00,318.70
Export Local,CLT-2026-0068,EXL-2026-0068,REF-000068,REF555068,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-22,2026-06-24,2026-06-22,,Ready to Dispatch,,,,40,,Sample load for Supabase/TMS testing.,false,625.00,,,,2026-06-22 08:00:00,2026-06-24 13:00:00,,,,PU-00068,DL-00068,Exported,Pending,625.00,378.47,0.00,246.53
Import,CLT-2026-0069,IMP-2026-0069,REF-000069,HLXU555069,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-14,2026-06-17,2026-06-16,2026-06-19,Assigned,Andre Johnson,CT-109,CH-2005,40HC,,Sample load for Supabase/TMS testing.,false,625.00,Evergreen,BAYPORT EXPRESS,Ceres Terminal,2026-06-16 14:00:00,2026-06-17 09:00:00,Bayport Empty Yard,2026-06-18,COCP,PU-00069,DL-00069,Ready,Pending,625.00,355.26,175.00,444.74
Export,CLT-2026-0070,EXP-2026-0070,REF-000070,FCIU555070,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-18,2026-06-21,2026-06-19,2026-06-20,En Route to Pickup,Sam Patel,CT-110,CH-2006,40ST,,Sample load for Supabase/TMS testing.,false,1350.00,ZIM,HOUSTON BRIDGE,Turning Basin,2026-06-19 07:00:00,2026-06-21 10:00:00,,,Private Chassis,PU-00070,DL-00070,Not Ready,Paid,1350.00,723.16,0.00,626.84
Import Local,CLT-2026-0071,IML-2026-0071,REF-000071,REF555071,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-20,2026-06-22,2026-06-22,,At Pickup,Victor Reza,CT-101,CH-2007,20FR,,Sample load for Supabase/TMS testing.,false,925.00,,,,2026-06-22 07:00:00,2026-06-22 11:00:00,,,,PU-00071,DL-00071,Ready,Approved,925.00,533.83,75.00,466.17
Export Local,CLT-2026-0072,EXL-2026-0072,REF-000072,EXL555072,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-16,2026-06-19,2026-06-17,2026-06-20,Loaded,Miguel Torres,CT-102,CH-2008,40FR,,Sample load for Supabase/TMS testing.,false,1350.00,,,,2026-06-17 09:00:00,2026-06-19 13:00:00,,,,PU-00072,DL-00072,Invoiced,Paid,1350.00,816.65,75.00,608.35
Import,CLT-2026-0073,IMP-2026-0073,REF-000073,ONEU555073,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-20,2026-06-21,2026-06-20,2026-06-20,En Route To Delivery,Carlos Ramirez,CT-103,CH-2001,20,,Sample load for Supabase/TMS testing.,false,1200.00,Hapag-Lloyd,LONE PIONEER,Port Houston,2026-06-20 10:00:00,2026-06-21 09:00:00,Bayport Empty Yard,2026-06-22,FlexiVan,PU-00073,DL-00073,Invoiced,Approved,1200.00,676.76,175.00,698.24
Export,CLT-2026-0074,EXP-2026-0074,REF-000074,SEGU555074,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-15,2026-06-17,2026-06-16,2026-06-17,Delivered,Juan Martinez,CT-104,CH-2002,40,POD needed before billing.,Sample load for Supabase/TMS testing.,false,850.00,ONE,BAYPORT EXPRESS,Ceres Terminal,2026-06-16 08:00:00,2026-06-17 10:00:00,,,COCP,PU-00074,DL-00074,Exported,Paid,850.00,440.36,125.00,534.64
Import Local,CLT-2026-0075,IML-2026-0075,REF-000075,LOCAL555075,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-16,2026-06-17,2026-06-15,2026-06-18,Returning Empty,Luis Garcia,CT-105,CH-2003,40HC,,Sample load for Supabase/TMS testing.,false,1050.00,,,,2026-06-15 08:00:00,2026-06-17 15:00:00,,,,PU-00075,DL-00075,Invoiced,Paid,1050.00,575.10,0.00,474.90
Export Local,CLT-2026-0076,EXL-2026-0076,REF-000076,LOCAL555076,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-23,2026-06-24,2026-06-23,,POD Received,Rafael Gomez,CT-106,CH-2004,40ST,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1050.00,,,,2026-06-23 09:00:00,2026-06-24 09:00:00,,,,PU-00076,DL-00076,Ready,Paid,1050.00,617.78,0.00,432.22
Import,CLT-2026-0077,IMP-2026-0077,REF-000077,ONEU555077,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-19,2026-06-22,2026-06-21,2026-06-25,Ready for ProfitTools,Diego Moreno,CT-107,CH-2005,20FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1350.00,ZIM,TEXAS STAR,Barbours Cut,2026-06-21 10:00:00,2026-06-22 15:00:00,Bayport Empty Yard,2026-06-23,TRAC,PU-00077,DL-00077,Ready,Approved,1350.00,696.81,175.00,828.19
Export,CLT-2026-0078,EXP-2026-0078,REF-000078,TGHU555078,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-19,2026-06-21,2026-06-20,2026-06-21,Exported to ProfitTools,Oscar Silva,CT-108,CH-2006,40FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,925.00,Maersk,LONE PIONEER,Port Houston,2026-06-20 14:00:00,2026-06-21 09:00:00,,,FlexiVan,PU-00078,DL-00078,Exported,Pending,925.00,438.37,125.00,611.63
Import Local,CLT-2026-0079,IML-2026-0079,REF-000079,REF555079,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-18,2026-06-20,2026-06-18,,Invoiced,Andre Johnson,CT-109,CH-2007,20,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1350.00,,,,2026-06-18 14:00:00,2026-06-20 13:00:00,,,,PU-00079,DL-00079,Invoiced,Approved,1350.00,768.63,0.00,581.37
Export Local,CLT-2026-0080,EXL-2026-0080,REF-000080,REF555080,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-19,2026-06-20,2026-06-19,,Closed,Sam Patel,CT-110,CH-2008,40,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1350.00,,,,2026-06-19 07:00:00,2026-06-20 15:00:00,,,,PU-00080,DL-00080,Invoiced,Paid,1350.00,641.68,0.00,708.32
Import,CLT-2026-0081,IMP-2026-0081,REF-000081,MSCU555081,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-11,2026-06-12,2026-06-10,2026-06-14,New,,,,40HC,,Sample load for Supabase/TMS testing.,false,850.00,ONE,GULF TRADER,Bayport Terminal,2026-06-10 07:00:00,2026-06-12 13:00:00,Bayport Empty Yard,2026-06-13,DCLI,PU-00081,DL-00081,Exported,Pending,850.00,462.30,75.00,462.70
Export,CLT-2026-0082,EXP-2026-0082,REF-000082,TGHU555082,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-12,2026-06-14,2026-06-13,2026-06-13,Hold/Need Info,,,,40ST,,Sample load for Supabase/TMS testing.,false,625.00,CMA CGM,TEXAS STAR,Barbours Cut,2026-06-13 10:00:00,2026-06-14 11:00:00,,,TRAC,PU-00082,DL-00082,Not Ready,Pending,625.00,353.38,175.00,446.62
Import Local,CLT-2026-0083,IML-2026-0083,REF-000083,LOCAL555083,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-11,2026-06-13,2026-06-11,,Awaiting Appointment,,,,20FR,,Sample load for Supabase/TMS testing.,false,1350.00,,,,2026-06-11 08:00:00,2026-06-13 08:00:00,,,,PU-00083,DL-00083,Paid,Paid,1350.00,813.90,125.00,661.10
Export Local,CLT-2026-0084,EXL-2026-0084,REF-000084,REF555084,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-11,2026-06-13,2026-06-11,2026-06-14,Ready to Dispatch,,,,40FR,,Sample load for Supabase/TMS testing.,false,1050.00,,,,2026-06-11 10:00:00,2026-06-13 10:00:00,,,,PU-00084,DL-00084,Not Ready,Paid,1050.00,536.63,125.00,638.37
Import,CLT-2026-0085,IMP-2026-0085,REF-000085,ONEU555085,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-08,2026-06-09,2026-06-09,2026-06-09,Assigned,Luis Garcia,CT-105,CH-2005,20,,Sample load for Supabase/TMS testing.,false,700.00,Maersk,HOUSTON BRIDGE,Turning Basin,2026-06-09 14:00:00,2026-06-09 08:00:00,Bayport Empty Yard,2026-06-10,Private Chassis,PU-00085,DL-00085,Not Ready,Pending,700.00,348.58,125.00,476.42
Export,CLT-2026-0086,EXP-2026-0086,REF-000086,SEGU555086,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-12,2026-06-14,2026-06-13,2026-06-17,En Route to Pickup,Rafael Gomez,CT-106,CH-2006,40,,Sample load for Supabase/TMS testing.,false,775.00,MSC,GULF TRADER,Bayport Terminal,2026-06-13 09:00:00,2026-06-14 08:00:00,,,DCLI,PU-00086,DL-00086,Invoiced,Pending,775.00,393.41,0.00,381.59
Import Local,CLT-2026-0087,IML-2026-0087,REF-000087,IML555087,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-07,2026-06-09,2026-06-09,2026-06-10,At Pickup,Diego Moreno,CT-107,CH-2007,40HC,,Sample load for Supabase/TMS testing.,false,775.00,,,,2026-06-09 13:00:00,2026-06-09 15:00:00,,,,PU-00087,DL-00087,Ready,Paid,775.00,414.65,125.00,485.35
Export Local,CLT-2026-0088,EXL-2026-0088,REF-000088,LOCAL555088,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-12,2026-06-13,2026-06-12,,Loaded,Oscar Silva,CT-108,CH-2008,40ST,,Sample load for Supabase/TMS testing.,false,850.00,,,,2026-06-12 07:00:00,2026-06-13 09:00:00,,,,PU-00088,DL-00088,Exported,Approved,850.00,483.66,125.00,491.34
Import,CLT-2026-0089,IMP-2026-0089,REF-000089,HLXU555089,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-11,2026-06-14,2026-06-13,2026-06-15,En Route To Delivery,Andre Johnson,CT-109,CH-2001,20FR,,Sample load for Supabase/TMS testing.,false,1350.00,CMA CGM,BAYPORT EXPRESS,Ceres Terminal,2026-06-13 09:00:00,2026-06-14 13:00:00,Bayport Empty Yard,2026-06-15,COCP,PU-00089,DL-00089,Paid,Pending,1350.00,740.82,0.00,609.18
Export,CLT-2026-0090,EXP-2026-0090,REF-000090,TRHU555090,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-09,2026-06-11,2026-06-09,2026-06-14,Delivered,Sam Patel,CT-110,CH-2002,40FR,POD needed before billing.,Sample load for Supabase/TMS testing.,false,775.00,Evergreen,HOUSTON BRIDGE,Turning Basin,2026-06-09 07:00:00,2026-06-11 08:00:00,,,Private Chassis,PU-00090,DL-00090,Paid,Pending,775.00,497.85,125.00,402.15
Import Local,CLT-2026-0091,IML-2026-0091,REF-000091,,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-06,2026-06-08,2026-06-06,,Returning Empty,Victor Reza,CT-101,CH-2003,20,,Sample load for Supabase/TMS testing.,false,700.00,,,,2026-06-06 07:00:00,2026-06-08 16:00:00,,,,PU-00091,DL-00091,Invoiced,Approved,700.00,380.87,175.00,494.13
Export Local,CLT-2026-0092,EXL-2026-0092,REF-000092,EXL555092,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-11,2026-06-13,2026-06-11,,POD Received,Miguel Torres,CT-102,CH-2004,40,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1200.00,,,,2026-06-11 10:00:00,2026-06-13 08:00:00,,,,PU-00092,DL-00092,Ready,Approved,1200.00,623.51,0.00,576.49
Import,CLT-2026-0093,IMP-2026-0093,REF-000093,HLXU555093,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-08,2026-06-09,2026-06-09,2026-06-10,Ready for ProfitTools,Carlos Ramirez,CT-103,CH-2005,40HC,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,850.00,MSC,LONE PIONEER,Port Houston,2026-06-09 14:00:00,2026-06-09 11:00:00,Bayport Empty Yard,2026-06-10,FlexiVan,PU-00093,DL-00093,Ready,Paid,850.00,495.14,75.00,429.86
Export,CLT-2026-0094,EXP-2026-0094,REF-000094,TRHU555094,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-13,2026-06-14,2026-06-13,2026-06-15,Exported to ProfitTools,Juan Martinez,CT-104,CH-2006,40ST,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1050.00,Hapag-Lloyd,BAYPORT EXPRESS,Ceres Terminal,2026-06-13 09:00:00,2026-06-14 08:00:00,,,COCP,PU-00094,DL-00094,Exported,Approved,1050.00,654.13,0.00,395.87
Import Local,CLT-2026-0095,IML-2026-0095,REF-000095,IML555095,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-10,2026-06-11,2026-06-11,,Invoiced,Luis Garcia,CT-105,CH-2007,20FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1200.00,,,,2026-06-11 09:00:00,2026-06-11 13:00:00,,,,PU-00095,DL-00095,Invoiced,Approved,1200.00,690.10,0.00,509.90
Export Local,CLT-2026-0096,EXL-2026-0096,REF-000096,REF555096,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-08,2026-06-10,2026-06-10,2026-06-11,Closed,Rafael Gomez,CT-106,CH-2008,40FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,625.00,,,,2026-06-10 14:00:00,2026-06-10 11:00:00,,,,PU-00096,DL-00096,Invoiced,Pending,625.00,284.86,175.00,515.14
Import,CLT-2026-0097,IMP-2026-0097,REF-000097,MSCU555097,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-07,2026-06-09,2026-06-09,2026-06-12,New,,,,20,,Sample load for Supabase/TMS testing.,false,625.00,Evergreen,TEXAS STAR,Barbours Cut,2026-06-09 13:00:00,2026-06-09 11:00:00,Bayport Empty Yard,2026-06-10,TRAC,PU-00097,DL-00097,Invoiced,Pending,625.00,309.34,0.00,315.66
Export,CLT-2026-0098,EXP-2026-0098,REF-000098,FCIU555098,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-07,2026-06-09,2026-06-09,2026-06-10,Hold/Need Info,,,,40,,Sample load for Supabase/TMS testing.,false,1050.00,ZIM,LONE PIONEER,Port Houston,2026-06-09 14:00:00,2026-06-09 10:00:00,,,FlexiVan,PU-00098,DL-00098,Ready,Approved,1050.00,647.79,75.00,477.21
Import Local,CLT-2026-0099,IML-2026-0099,REF-000099,LOCAL555099,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-08,2026-06-10,2026-06-10,2026-06-11,Awaiting Appointment,,,,40HC,,Sample load for Supabase/TMS testing.,false,700.00,,,,2026-06-10 13:00:00,2026-06-10 13:00:00,,,,PU-00099,DL-00099,Invoiced,Approved,700.00,435.96,0.00,264.04
Export Local,CLT-2026-0100,EXL-2026-0100,REF-000100,LOCAL555100,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-06,2026-06-08,2026-06-06,,Ready to Dispatch,,,,40ST,,Sample load for Supabase/TMS testing.,false,850.00,,,,2026-06-06 09:00:00,2026-06-08 15:00:00,,,,PU-00100,DL-00100,Invoiced,Pending,850.00,524.87,125.00,450.13
